,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Mitch Marner,20,C,74,20,43,63,-5,20,12,8,0,2,25,18,0,179,11.2,1199,16:12,5.4,1,6.3,23,29,46,43,51.7
2,William Nylander,21,C,74,16,37,53,19,8,12,4,0,7,32,5,0,160,10,1238,16:44,3.8,1.9,5.7,14,21,288,289,49.9
3,James van Riemsdyk,28,LW,73,34,17,51,1,28,23,11,0,4,8,9,0,219,15.5,1083,14:50,5.9,1.1,7,21,32,0,1,0
4,Auston Matthews,20,C,54,29,22,51,24,8,27,2,0,4,17,5,0,164,17.7,986,18:15,5.6,1.9,7.5,54,15,346,276,55.6
5,Nazem Kadri,27,C,72,28,22,50,1,38,18,10,0,1,15,7,0,190,14.7,1202,16:42,4.8,1.2,6,23,93,477,495,49.1
6,Morgan Rielly,23,D,68,6,41,47,-6,14,5,1,0,0,20,21,0,172,3.5,1473,21:39,3.7,2.2,6,79,43,0,2,0
7,Jake Gardiner,27,D,74,5,39,44,8,30,4,1,0,0,29,10,0,119,4.2,1664,22:29,3.1,3.7,6.7,95,43,0,0,
8,Patrick Marleau,38,LW,74,23,17,40,-2,16,20,3,0,5,14,3,0,182,12.6,1259,17:01,3.1,1.1,4.2,23,76,149,132,53
9,Tyler Bozak,31,C,73,11,29,40,6,28,8,3,0,2,20,9,0,135,8.1,1143,15:39,2.2,1.3,3.5,24,41,572,492,53.8
10,Zach Hyman,25,C,74,14,22,36,21,30,13,0,1,2,21,0,1,135,10.4,1287,17:24,1.6,2.1,3.7,50,108,62,90,40.8
11,Connor Brown,24,RW,74,13,13,26,2,14,11,1,1,2,12,1,0,106,12.3,1117,15:05,1,1.2,2.1,27,21,55,87,38.7
12,Ron Hainsey,36,D,72,4,18,22,5,18,3,1,0,2,16,0,2,66,6.1,1575,21:53,0.8,3.3,4,145,81,0,0,
13,Leo Komarov,31,C,71,7,12,19,0,29,4,2,1,0,11,1,0,110,6.4,1132,15:56,-0.4,1.1,0.7,47,209,108,99,52.2
14,Dominic Moore,37,C,49,6,6,12,3,14,6,0,0,0,5,0,1,46,13,509,10:24,0.5,0.6,1.1,19,40,193,164,54.1
15,Connor Carrick,23,D,44,4,8,12,8,27,3,1,0,3,7,1,0,51,7.8,671,15:15,0.8,1.9,2.7,51,34,0,0,
16,Nikita Zaitsev,26,D,52,4,8,12,11,29,4,0,0,1,8,0,0,46,8.7,1170,22:31,0.2,3,3.2,129,96,0,0,
17,Matt Martin,28,LW,49,3,9,12,-1,50,3,0,0,0,9,0,0,46,6.5,391,7:59,0.5,0.3,0.8,9,142,11,4,73.3
18,Andreas Borgman,22,D,48,3,8,11,4,28,3,0,0,0,8,0,0,46,6.5,657,13:41,0.7,1.5,2.2,36,121,0,0,
19,Roman Polak,31,D,47,2,9,11,5,38,2,0,0,0,9,0,0,40,5,829,17:38,0.3,1.9,2.2,77,109,0,0,
20,Travis Dermott,21,D,31,1,10,11,16,8,1,0,0,0,10,0,0,47,2.1,514,16:34,0.6,2.2,2.8,32,44,0,0,
21,Kasperi Kapanen,21,RW,31,6,2,8,1,2,5,0,1,1,2,0,0,46,13,359,11:35,0.5,0.4,0.9,8,49,1,5,16.7
22,Josh Leivo,24,LW,16,1,3,4,0,6,1,0,0,0,3,0,0,25,4,169,10:34,0.1,0.2,0.2,5,2,6,3,66.7
23,Justin Holl,26,D,2,2,0,2,5,0,2,0,0,1,0,0,0,2,100,35,17:22,0.4,0.5,0.8,3,2,0,0,
24,Frederik Gauthier,22,C,9,1,0,1,-4,0,1,0,0,0,0,0,0,12,8.3,79,8:45,0,-0.1,-0.1,5,12,27,28,49.1
25,Andreas Johnsson,23,LW,4,1,0,1,0,0,1,0,0,0,0,0,0,9,11.1,46,11:34,0.1,0,0.1,1,2,1,0,100
26,Frederik Andersen,28,G,60,0,1,1,0,2,0,0,0,0,1,0,0,1,0,3534,58:54:00,0,0,12.3,0,0,0,0,
27,Curtis McElhinney,34,G,16,0,1,1,0,0,0,0,0,0,1,0,0,0,,861,53:48:00,0,0,3.8,0,0,0,0,
28,Calle Rosen,23,D,4,0,1,1,-3,4,0,0,0,0,1,0,0,5,0,51,12:47,0,-0.1,-0.1,0,1,0,0,
29,Eric Fehr,32,C,4,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,44,10:56,-0.1,0,-0.1,2,2,17,20,45.9
30,Martin Marincin,25,D,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,,33,16:41,0,-0.1,-0.1,4,1,0,0,
31,Calvin Pickard,25,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,63,62:35:00,0,0,0,,0,,,
32,Tomas Plekanec,35,C,10,0,0,0,-2,6,0,0,0,0,0,0,0,13,0,114,11:23,-0.3,0,-0.3,3,13,60,49,55
33,Nikita Soshnikov,24,RW,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,,31,10:26,-0.1,0,-0.1,2,5,0,1,0
,Team Total,,,74,244,398,642,112,499,192,48,4,37,304,90,4,2376,10.3,,,44.6,35.1,95.8,1011,1487,2419,2280,51.5
