,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Brad Marchand,29,LW,58,31,44,75,30,55,22,8,1,7,30,12,2,159,19.5,1143,19:43,7.6,2.4,10,23,33,46,70,39.7
2,David Pastrnak,21,RW,72,28,42,70,14,28,20,8,0,4,30,12,0,202,13.9,1290,17:55,6.4,2,8.4,28,54,5,20,20
3,Patrice Bergeron,32,C,55,27,27,54,26,26,16,9,2,5,18,8,1,198,13.6,1068,19:25,5.3,2.2,7.5,40,42,664,503,56.9
4,Torey Krug,26,D,67,13,39,52,2,32,8,4,1,4,24,15,0,173,7.5,1349,20:08,5,2.8,7.8,63,72,0,0,
5,Danton Heinen,22,C,67,13,29,42,10,14,11,1,1,3,19,10,0,117,11.1,1017,15:11,2.8,1.5,4.3,30,39,9,12,42.9
6,Riley Nash,28,C,71,15,25,40,15,14,13,2,0,1,24,1,0,111,13.5,1104,15:33,2.5,1.8,4.3,64,82,435,461,48.5
7,Jake Debrusk,21,LW,64,14,25,39,11,19,12,2,0,4,18,7,0,135,10.4,913,14:16,2.9,1.4,4.3,25,66,13,16,44.8
8,David Krejci,31,C,54,17,21,38,8,16,10,7,0,2,15,6,0,98,17.3,915,16:57,3.1,1.3,4.4,29,30,424,393,51.9
9,Charlie McAvoy,20,D,59,7,25,32,26,49,5,2,0,2,20,5,0,71,9.9,1305,22:07,2.4,4.6,7,75,121,0,0,
10,David Backes,33,RW,50,12,16,28,4,49,10,2,0,1,12,3,1,141,8.5,771,15:25,1.9,1,2.9,23,124,112,96,53.8
11,Ryan Spooner,26,C,39,9,16,25,10,2,8,1,0,3,12,4,0,70,12.9,565,14:29,1.9,1,2.9,12,38,68,66,50.7
12,Zdeno Chara,40,D,68,7,16,23,26,58,7,0,0,3,15,0,1,131,5.3,1564,23:00,1.1,5.1,6.2,114,134,0,0,
