,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Mark Stone,25,RW,58,20,42,62,9,10,18,1,1,3,31,10,1,132,15.2,1199,20:40,5.1,1.6,6.7,39,53,33,28,54.1
2,Erik Karlsson,27,D,66,8,48,56,-24,36,5,3,0,2,34,13,1,176,4.5,1753,26:34:00,4.4,1.9,6.3,112,56,0,0,
3,Mike Hoffman,28,LW,73,22,29,51,-18,26,14,8,0,5,17,12,0,228,9.6,1341,18:23,3.8,0.7,4.5,31,27,19,16,54.3
4,Matt Duchene,27,C,59,19,21,40,-18,12,14,5,0,2,17,4,0,146,13,1106,18:45,3,0.5,3.5,39,50,530,479,52.5
5,Derick Brassard,30,C,58,18,20,38,-1,30,14,4,0,2,19,1,0,164,11,1064,18:21,2.8,1.1,3.9,22,78,433,440,49.6
6,Ryan Dzingel,25,LW,70,20,13,33,-14,29,16,4,0,1,9,4,0,117,17.1,1147,16:23,2.2,0.7,2.9,17,57,22,29,43.1
7,Bobby Ryan,30,RW,53,8,20,28,-8,10,7,1,0,1,18,2,0,91,8.8,875,16:31,1.3,0.6,1.9,47,81,12,9,57.1
8,Jean-Gabriel Pageau,25,C,69,12,14,26,-10,30,10,1,1,1,14,0,0,122,9.8,1138,16:29,0.7,0.8,1.6,60,123,502,478,51.2
9,Tom Pyatt,30,LW,72,7,14,21,-7,8,6,0,1,2,13,0,1,93,7.5,1011,14:02,0,0.8,0.9,86,47,14,26,35
10,Thomas Chabot,21,D,54,6,15,21,-9,14,6,0,0,0,8,7,0,76,7.9,912,16:53,1.6,1.2,2.9,53,39,0,0,
11,Cody Ceci,24,D,73,5,14,19,-22,10,5,0,0,1,9,5,0,130,3.8,1685,23:05,0.4,1.9,2.3,150,144,0,0,
12,Zack Smith,29,LW,59,5,13,18,-27,45,5,0,0,1,9,3,1,107,4.7,986,16:43,-0.4,0,-0.4,28,72,250,259,49.1
13,Dion Phaneuf,32,D,53,3,13,16,-8,34,2,1,0,0,10,3,0,86,3.5,1074,20:15,0.6,1.7,2.3,114,108,0,0,
14,Alexandre Burrows,36,RW,62,5,7,12,-4,45,3,2,0,2,6,1,0,71,7,718,11:35,-0.3,0.6,0.4,30,57,8,22,26.7
15,Nate Thompson,33,C,43,4,7,11,0,10,3,0,1,0,7,0,0,28,14.3,538,12:30,0,0.6,0.6,24,79,224,174,56.3
16,Christopher Didomenico,28,LW,24,6,4,10,-4,8,4,2,0,0,2,2,0,23,26.1,283,11:47,0.9,0.1,1,14,21,6,13,31.6
17,Mark Borowiecki,28,D,43,3,7,10,-1,58,3,0,0,0,7,0,0,58,5.2,610,14:12,0.6,1.2,1.8,68,176,0,0,
18,Kyle Turris,28,C,11,3,6,9,-3,2,1,2,0,0,4,2,0,26,11.5,217,19:42,0.6,0.1,0.7,6,2,91,58,61.1
19,Johnny Oduya,36,D,51,4,4,8,2,32,4,0,0,0,4,0,0,58,6.9,877,17:12,0.1,2,2.2,75,49,0,0,
20,Chris Wideman,28,D,16,3,5,8,5,6,1,2,0,0,5,0,0,24,12.5,185,11:33,0.9,0.8,1.7,9,17,0,0,
21,Marian Gaborik,35,RW,16,4,3,7,-7,6,2,2,0,0,2,1,0,27,14.8,213,13:19,0.5,0,0.5,3,3,0,0,
22,Fredrik Claesson,25,D,55,1,6,7,-4,35,1,0,0,0,6,0,0,52,1.9,843,15:20,-0.2,1.5,1.3,75,142,0,0,
23,Magnus Paajarvi,26,LW,26,5,1,6,0,2,5,0,0,0,1,0,0,51,9.8,369,14:10,0.1,0.4,0.5,24,39,1,0,100
24,Max McCormick,25,LW,21,2,2,4,-1,35,2,0,0,0,2,0,0,23,8.7,164,7:50,0.2,0.1,0.3,8,38,8,5,61.5
25,Colin White,21,C,15,2,1,3,-2,6,2,0,0,1,1,0,0,17,11.8,189,12:37,0,0.1,0.1,12,11,11,28,28.2
26,Filip Chlapik,20,C,12,1,2,3,-4,2,1,0,0,0,1,1,0,15,6.7,115,9:36,0.1,0,0.1,10,10,32,30,51.6
27,Gabriel Dumont,27,C,23,1,1,2,1,2,1,0,0,0,1,0,0,27,3.7,199,8:38,-0.2,0.3,0,13,48,11,28,28.2
28,Mike Condon,27,G,28,0,2,2,0,0,0,0,0,0,0,2,0,0,,1450,51:47:00,0,0,3.8,0,0,0,0,
29,Nick Paul,22,LW,11,1,0,1,-4,0,1,0,0,0,0,0,0,11,9.1,87,7:54,0,-0.1,-0.1,4,16,1,3,25
30,Patrick Sieloff,23,D,1,1,0,1,-2,0,1,0,0,0,0,0,0,3,33.3,11,11:11,0.2,-0.1,0.1,1,1,0,0,
31,Logan Brown,19,C,4,0,1,1,0,0,0,0,0,0,1,0,0,4,0,33,8:08,0,0,0,1,1,4,8,33.3
32,Erik Burgdoerfer,29,D,2,0,1,1,2,0,0,0,0,0,1,0,0,2,0,27,13:25,0.1,0.2,0.3,2,5,0,0,
33,Ben Harpur,23,D,36,0,1,1,-17,19,0,0,0,0,1,0,0,24,0,546,15:09,-0.6,-0.2,-0.7,32,61,0,0,
34,Jim O'Brien,29,C,10,0,1,1,-1,0,0,0,0,0,1,0,0,11,0,88,8:45,-0.1,0.1,-0.1,5,10,27,37,42.2
35,Nick Shore,25,C,6,0,1,1,1,0,0,0,0,0,1,0,0,6,0,57,9:28,-0.1,0.1,0,1,6,22,22,50
36,Craig Anderson,36,G,53,0,0,0,0,2,0,0,0,0,0,0,0,0,,2947,55:37:00,0,0,6.6,0,0,0,0,
37,Mike Blunden,31,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6:31,0,0,0,0,6,0,0,
38,Alex Formenton,18,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,4:54,0,0,0,1,1,0,0,
39,Christian Jaros,21,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,7:58,0,0,0,0,4,0,0,
40,Jack Rodewald,23,RW,4,0,0,0,-1,2,0,0,0,0,0,0,0,0,,29,7:18,-0.1,0,-0.1,2,5,0,2,0
41,Christian Wolanin,22,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,17:09,0,0,0,0,2,0,0,
,Team Total,,,73,199,339,538,-201,566,157,38,4,24,262,73,4,2230,8.9,,,28.1,21.6,60.2,1218,1745,2261,2194,50.8
