,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,1/14/2017,8:00 PM,@,Dallas Stars,5,4,W,,27,9,5,W 3,,31,6,0,4,0,,38,8,1,3,0,"18,532",2:27,
42,1/15/2017,7:00 PM,@,Chicago Blackhawks,3,2,W,,28,9,5,W 4,,32,6,1,1,0,,35,4,0,2,0,"22,051",2:26,
43,1/17/2017,8:00 PM,,New Jersey Devils,3,4,L,,28,10,5,L 1,,35,2,1,3,0,,26,6,1,1,0,"19,051",2:26,
44,1/19/2017,8:00 PM,,Arizona Coyotes,4,3,W,,29,10,5,W 1,,25,13,2,4,0,,23,17,0,2,0,"19,027",2:30,
45,1/21/2017,9:00 PM,,Anaheim Ducks,5,3,W,,30,10,5,W 2,,25,9,0,2,0,,29,9,1,2,1,"19,288",2:30,
46,1/22/2017,8:00 PM,,Nashville Predators,2,4,L,,30,11,5,L 1,,23,6,0,1,0,,32,4,0,2,0,"19,087",2:24,
47,1/24/2017,8:30 PM,@,Dallas Stars,3,2,W,SO,31,11,5,W 1,,33,10,1,4,0,,37,8,1,5,0,"17,877",2:48,
48,1/26/2017,8:00 PM,,St. Louis Blues,5,1,W,,32,11,5,W 2,,33,4,1,2,0,,25,4,0,2,0,"19,064",2:31,
49,1/31/2017,9:00 PM,@,Edmonton Oilers,5,2,W,,33,11,5,W 3,,35,6,0,1,0,,43,2,1,3,0,"18,347",2:39,
50,2/1/2017,10:00 PM,@,Calgary Flames,1,5,L,,33,12,5,L 1,,29,10,0,3,0,,36,8,2,4,0,"18,044",2:35,
51,2/4/2017,10:00 PM,@,Vancouver Canucks,6,3,W,,34,12,5,W 1,,39,8,0,1,1,,27,6,1,2,0,"18,212",2:35,
52,2/7/2017,8:00 PM,@,Winnipeg Jets,4,2,W,,35,12,5,W 2,,25,2,0,1,0,,40,0,0,1,0,"15,294",2:30,
53,2/8/2017,8:00 PM,,Chicago Blackhawks,3,4,L,OT,35,12,6,L 1,,38,6,0,2,0,,32,6,1,2,0,"19,326",2:42,
54,2/10/2017,8:00 PM,,Tampa Bay Lightning,2,1,W,SO,36,12,6,W 1,,38,11,1,3,0,,27,13,0,2,0,"19,178",2:44,
55,2/12/2017,3:00 PM,,Detroit Red Wings,6,3,W,,37,12,6,W 2,,30,4,3,4,0,,34,10,0,1,0,"19,141",2:28,
56,2/14/2017,8:00 PM,,Anaheim Ducks,0,1,L,,37,13,6,L 1,,37,0,0,5,0,,23,20,0,0,0,"19,047",2:33,
57,2/16/2017,8:00 PM,,Dallas Stars,3,1,W,,38,13,6,W 1,,26,31,1,1,0,,35,16,0,2,0,"19,084",2:41,
58,2/18/2017,8:00 PM,,Nashville Predators,5,2,W,,39,13,6,W 2,,33,21,1,4,0,,39,23,0,2,0,"19,292",2:46,
59,2/21/2017,8:00 PM,,Chicago Blackhawks,3,5,L,,39,14,6,L 1,,32,4,2,2,0,,39,4,0,2,0,"19,333",2:29,
60,2/27/2017,8:00 PM,,Los Angeles Kings,5,4,W,OT,40,14,6,W 1,,35,2,0,2,0,,30,4,0,1,0,"19,118",2:44,
61,2/28/2017,8:00 PM,@,Winnipeg Jets,6,5,W,,41,14,6,W 2,,28,10,1,4,0,,36,11,0,4,1,"15,294",2:31,
62,3/2/2017,7:00 PM,@,Columbus Blue Jackets,0,1,L,,41,15,6,L 1,,38,8,0,4,0,,40,8,0,4,0,"15,987",2:42,
63,3/5/2017,6:00 PM,,San Jose Sharks,3,1,W,,42,15,6,W 1,,28,6,1,4,0,,21,8,0,3,0,"19,168",2:23,
64,3/7/2017,8:00 PM,,St. Louis Blues,1,2,L,,42,16,6,L 1,,33,2,0,1,0,,20,2,0,1,0,"19,124",2:26,
65,3/9/2017,7:30 PM,@,Tampa Bay Lightning,1,4,L,,42,17,6,L 2,,33,6,0,4,0,,29,8,1,3,0,"19,092",2:41,
66,3/10/2017,7:30 PM,@,Florida Panthers,7,4,W,,43,17,6,W 1,,46,6,0,3,0,,40,8,1,2,0,"16,232",2:44,
67,3/12/2017,12:30 PM,@,Chicago Blackhawks,2,4,L,,43,18,6,L 1,,44,6,0,1,0,,22,2,0,3,0,"22,147",2:27,
68,3/14/2017,7:00 PM,@,Washington Capitals,2,4,L,,43,19,6,L 2,,32,15,1,7,0,,40,29,1,5,0,"18,506",2:35,
69,3/16/2017,7:00 PM,@,Carolina Hurricanes,1,3,L,,43,20,6,L 3,,31,8,0,1,1,,24,2,1,4,0,"10,894",2:16,
70,3/18/2017,7:00 PM,,New York Rangers,2,3,L,,43,21,6,L 4,,27,8,1,3,0,,30,4,0,3,0,"19,337",2:35,
71,3/19/2017,5:00 PM,@,Winnipeg Jets,4,5,L,,43,22,6,L 5,,48,13,1,3,0,,21,11,1,4,0,"15,294",2:39,
72,3/21/2017,8:30 PM,,San Jose Sharks,3,2,W,,44,22,6,W 1,,27,7,1,3,0,,23,11,0,1,0,"19,104",2:26,
73,3/23/2017,8:00 PM,,Philadelphia Flyers,1,3,L,,44,23,6,L 1,,25,2,0,2,0,,27,4,0,1,0,"19,004",2:24,
74,3/25/2017,2:00 PM,,Vancouver Canucks,2,4,L,,44,24,6,L 2,,27,4,0,3,0,,21,6,1,2,0,"19,184",2:29,
75,3/26/2017,12:30 PM,@,Detroit Red Wings,2,3,L,OT,44,24,7,L 3,,26,4,0,2,0,,19,4,1,2,0,"20,027",2:34,
76,3/28/2017,8:00 PM,,Washington Capitals,4,5,L,OT,44,24,8,L 4,,30,13,0,5,0,,20,15,3,4,0,"19,188",2:41,
77,3/30/2017,8:00 PM,,Ottawa Senators,5,1,W,,45,24,8,W 1,,26,6,1,2,0,,19,4,0,4,0,"19,044",2:29,
78,4/1/2017,2:00 PM,@,Nashville Predators,0,3,L,,45,25,8,L 1,,31,4,0,1,0,,36,2,0,2,0,"17,113",2:41,
79,4/2/2017,6:00 PM,,Colorado Avalanche,5,2,W,,46,25,8,W 1,,28,4,1,2,0,,32,4,0,2,0,"19,164",2:27,
80,4/4/2017,8:00 PM,,Carolina Hurricanes,5,3,W,,47,25,8,W 2,,36,8,0,1,0,,30,2,1,4,0,"18,848",2:30,
81,4/6/2017,9:00 PM,@,Colorado Avalanche,4,3,W,,48,25,8,W 3,,28,13,0,2,0,,33,9,0,4,0,"15,565",2:33,
82,4/8/2017,9:00 PM,@,Arizona Coyotes,3,1,W,,49,25,8,W 4,,45,2,2,2,0,,21,6,0,0,0,"17,490",2:26,
