,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,1/12/2017,7:30 PM,@,Tampa Bay Lightning,2,4,L,,16,16,9,L 1,,26,30,0,4,0,,29,18,2,5,0,"19,092",2:32,
42,1/13/2017,7:30 PM,@,Carolina Hurricanes,2,5,L,,16,17,9,L 2,,38,8,0,2,1,,38,4,0,4,0,"11,992",2:22,
43,1/16/2017,1:00 PM,,Dallas Stars,4,1,W,,17,17,9,W 1,,29,2,2,3,0,,32,4,0,1,0,"19,070",2:31,
44,1/17/2017,7:30 PM,@,Toronto Maple Leafs,3,4,L,,17,18,9,L 1,,27,2,0,1,0,,32,2,1,1,0,"19,122",2:29,
45,1/20/2017,7:00 PM,,Detroit Red Wings,3,2,W,OT,18,18,9,W 1,,37,8,2,4,0,,34,8,1,4,0,"18,942",2:45,
46,1/21/2017,7:00 PM,@,Montreal Canadiens,3,2,W,OT,19,18,9,W 2,,38,2,0,3,0,,38,6,0,1,0,"21,288",2:31,
47,1/24/2017,8:00 PM,@,Nashville Predators,5,4,W,OT,20,18,9,W 3,,37,11,0,2,0,,39,9,1,3,1,"17,113",2:49,
48,1/26/2017,8:30 PM,@,Dallas Stars,3,4,L,,20,19,9,L 1,,27,10,1,2,0,,37,4,1,5,0,"17,856",2:40,
49,1/31/2017,7:30 PM,@,Montreal Canadiens,2,5,L,,20,20,9,L 2,,39,2,1,3,0,,35,4,0,1,0,"21,288",2:23,
50,2/2/2017,7:30 PM,,New York Rangers,1,2,L,OT,20,20,10,L 3,,37,8,0,3,0,,44,8,1,3,0,"18,941",2:40,
51,2/4/2017,7:00 PM,,Ottawa Senators,4,0,W,,21,20,10,W 1,,26,21,0,0,0,,37,17,,2,,"19,070",2:25,
52,2/6/2017,7:00 PM,@,New Jersey Devils,1,2,L,,21,21,10,L 1,,23,15,0,1,0,,39,9,2,4,0,"12,105",2:31,
53,2/7/2017,7:00 PM,,San Jose Sharks,5,4,W,OT,22,21,10,W 1,,36,6,2,3,0,,40,6,1,3,0,"18,462",2:35,
54,2/9/2017,7:00 PM,,Anaheim Ducks,2,5,L,,22,22,10,L 1,,26,13,1,2,0,,44,9,1,4,0,"18,027",2:32,
55,2/11/2017,7:00 PM,@,Toronto Maple Leafs,3,1,W,,23,22,10,W 1,,23,11,1,1,0,,44,9,1,3,0,"19,427",2:32,
56,2/12/2017,7:30 PM,,Vancouver Canucks,2,4,L,,23,23,10,L 1,,28,12,0,3,0,,31,8,1,6,0,"18,876",2:29,
57,2/14/2017,7:30 PM,@,Ottawa Senators,3,2,W,,24,23,10,W 1,,25,6,0,2,0,,41,6,0,2,0,"16,832",2:28,
58,2/16/2017,7:30 PM,,Colorado Avalanche,2,0,W,,25,23,10,W 2,,32,0,1,3,0,,23,6,,0,,"18,335",2:32,
59,2/18/2017,1:00 PM,,St. Louis Blues,3,2,W,,26,23,10,W 3,,28,6,1,6,0,,39,12,0,3,1,"19,070",2:27,
60,2/19/2017,6:00 PM,,Chicago Blackhawks,1,5,L,,26,24,10,L 1,,26,6,0,4,0,,37,8,0,3,0,"19,070",2:22,
61,2/25/2017,10:00 PM,@,Colorado Avalanche,3,5,L,,26,25,10,L 2,,37,6,1,4,0,,30,10,0,2,0,"15,362",2:25,
62,2/26/2017,8:30 PM,@,Arizona Coyotes,2,3,L,,26,26,10,L 3,,33,6,0,1,0,,29,2,0,3,0,"13,432",2:27,
63,2/28/2017,7:00 PM,,Nashville Predators,4,5,L,OT,26,26,11,L 4,,32,10,0,2,0,,41,6,1,4,0,"18,634",2:37,
64,3/2/2017,7:00 PM,,Arizona Coyotes,6,3,W,,27,26,11,W 1,,41,6,2,4,1,,22,10,0,2,1,"18,116",2:34,
65,3/4/2017,7:00 PM,,Tampa Bay Lightning,1,2,L,SO,27,26,12,L 1,,32,4,1,3,0,,32,6,0,2,0,"18,935",2:41,
66,3/5/2017,5:00 PM,@,Pittsburgh Penguins,3,4,L,,27,27,12,L 2,,49,10,1,5,0,,45,12,1,4,0,"18,653",2:43,
67,3/7/2017,7:30 PM,,Philadelphia Flyers,3,6,L,,27,28,12,L 3,,34,11,2,4,0,,30,11,0,3,0,"18,233",2:29,
68,3/10/2017,7:00 PM,@,Columbus Blue Jackets,3,4,L,,27,29,12,L 4,,32,6,0,1,0,,39,2,2,3,0,"17,530",2:28,
69,3/11/2017,7:00 PM,,Columbus Blue Jackets,5,3,W,,28,29,12,W 1,,31,34,2,5,0,,36,28,0,3,0,"18,744",2:35,
70,3/14/2017,10:30 PM,@,San Jose Sharks,1,4,L,,28,30,12,L 1,,23,6,0,1,0,,41,2,1,3,0,"17,386",2:25,
71,3/16/2017,10:30 PM,@,Los Angeles Kings,0,2,L,,28,31,12,L 2,,26,9,0,2,0,,36,9,0,2,0,"18,230",2:26,
72,3/17/2017,10:00 PM,@,Anaheim Ducks,2,1,W,SO,29,31,12,W 1,,31,5,0,1,0,,40,7,0,0,0,"14,556",2:46,
73,3/20/2017,7:30 PM,@,Detroit Red Wings,2,1,W,,30,31,12,W 2,,30,8,2,2,0,,35,4,0,4,0,"20,027",2:31,
74,3/21/2017,7:00 PM,,Pittsburgh Penguins,1,3,L,,30,32,12,L 1,,30,23,0,1,0,,34,2,1,4,0,"18,313",2:30,
75,3/25/2017,7:00 PM,,Toronto Maple Leafs,5,2,W,,31,32,12,W 1,,38,8,2,2,0,,34,6,0,3,0,"19,070",2:34,
76,3/27/2017,7:00 PM,,Florida Panthers,4,2,W,,32,32,12,W 2,,32,11,2,3,0,,32,11,1,3,0,"18,564",2:34,
77,3/28/2017,7:00 PM,@,Columbus Blue Jackets,1,3,L,,32,33,12,L 1,,42,6,1,2,0,,29,4,0,3,0,"14,533",2:29,
78,4/2/2017,3:00 PM,,New York Islanders,2,4,L,,32,34,12,L 2,,37,2,0,4,0,,26,8,0,1,0,"19,070",2:27,
79,4/3/2017,7:00 PM,,Toronto Maple Leafs,2,4,L,,32,35,12,L 3,,22,30,0,1,1,,45,6,1,3,0,"18,829",2:40,
80,4/5/2017,7:30 PM,,Montreal Canadiens,2,1,W,,33,35,12,W 1,,30,2,0,0,0,,32,0,0,1,0,"18,815",2:20,
81,4/8/2017,7:00 PM,@,Florida Panthers,0,3,L,,33,36,12,L 1,,30,8,0,2,0,,37,4,1,4,0,"17,235",2:22,
82,4/9/2017,5:00 PM,@,Tampa Bay Lightning,2,4,L,,33,37,12,L 2,,28,6,0,1,0,,37,2,0,3,1,"19,092",2:27,
