,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,1/9/2017,10:30 PM,,Dallas Stars,4,6,L,,20,17,4,L 1,,22,2,2,3,1,,26,4,0,1,0,"18,230",2:35,
42,1/12/2017,10:30 PM,,St. Louis Blues,5,1,W,,21,17,4,W 1,,28,16,1,5,0,,22,20,0,3,0,"18,230",2:33,
43,1/14/2017,10:00 PM,,Winnipeg Jets,3,2,W,OT,22,17,4,W 2,,38,6,0,4,0,,28,8,2,4,0,"18,230",2:41,
44,1/16/2017,4:00 PM,,Tampa Bay Lightning,1,2,L,,22,18,4,L 1,,32,9,0,3,0,,29,11,0,2,0,"18,230",2:30,
45,1/18/2017,10:30 PM,,San Jose Sharks,2,3,L,,22,19,4,L 2,,24,12,0,4,0,,27,12,1,4,0,"18,230",2:36,
46,1/21/2017,7:00 PM,@,New York Islanders,2,4,L,,22,20,4,L 3,,36,8,1,2,0,,36,4,3,5,0,"15,138",2:38,
47,1/23/2017,7:00 PM,@,New York Rangers,2,3,L,,22,21,4,L 4,,38,13,0,2,0,,17,11,0,3,0,"18,006",2:27,
48,1/24/2017,7:00 PM,@,New Jersey Devils,3,1,W,,23,21,4,W 1,,25,8,1,2,0,,25,4,0,4,0,"13,412",2:26,
49,1/26/2017,7:00 PM,@,Carolina Hurricanes,3,0,W,,24,21,4,W 2,,29,10,0,1,0,,22,4,,4,,"10,486",2:21,
50,1/31/2017,9:00 PM,@,Arizona Coyotes,3,2,W,,25,21,4,W 3,,39,2,1,3,0,,32,6,0,1,0,"11,577",2:33,
51,2/1/2017,10:30 PM,,Colorado Avalanche,5,0,W,,26,21,4,W 4,,40,13,1,3,0,,22,21,,4,,"18,230",2:29,
52,2/4/2017,1:00 PM,@,Philadelphia Flyers,1,0,W,OT,27,21,4,W 5,,28,4,0,2,0,,17,2,,2,,"19,833",2:29,
53,2/5/2017,12:00 PM,@,Washington Capitals,0,5,L,,27,22,4,L 1,,38,4,0,4,0,,20,8,0,2,0,"18,506",2:19,
54,2/7/2017,7:30 PM,@,Tampa Bay Lightning,0,5,L,,27,23,4,L 2,,28,8,0,2,0,,21,8,0,2,0,"19,092",2:25,
55,2/9/2017,7:30 PM,@,Florida Panthers,6,3,W,,28,23,4,W 1,,26,12,1,3,0,,39,20,0,4,0,"13,451",2:34,
56,2/16/2017,10:30 PM,,Arizona Coyotes,3,5,L,,28,24,4,L 1,,44,8,1,3,0,,22,8,1,3,1,"18,230",2:44,
57,2/18/2017,10:00 PM,,Florida Panthers,2,3,L,,28,25,4,L 2,,35,4,0,3,0,,25,6,0,2,0,"18,230",2:28,
58,2/19/2017,9:00 PM,@,Anaheim Ducks,0,1,L,,28,26,4,L 3,,24,9,0,2,0,,29,7,0,2,0,"17,174",2:17,
59,2/21/2017,9:00 PM,@,Colorado Avalanche,2,1,W,,29,26,4,W 1,,32,6,0,1,0,,25,2,0,3,0,"13,768",2:14,
60,2/23/2017,10:30 PM,,Boston Bruins,1,4,L,,29,27,4,L 1,,28,4,1,3,0,,25,8,1,1,0,"18,230",2:36,
61,2/25/2017,4:00 PM,,Anaheim Ducks,4,1,W,,30,27,4,W 1,,33,20,0,4,0,,33,20,0,4,0,"18,230",2:56,
62,2/27/2017,8:00 PM,@,Minnesota Wild,4,5,L,OT,30,27,5,L 1,,30,4,0,1,0,,35,2,0,2,0,"19,118",2:44,
63,2/28/2017,9:00 PM,@,Calgary Flames,1,2,L,OT,30,27,6,L 2,,29,7,1,1,0,,30,7,0,2,0,"19,289",2:44,
