,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,1/9/2017,7:30 PM,,Washington Capitals,1,4,L,,25,10,6,L 1,,23,4,1,4,0,,39,6,1,2,0,"21,288",2:30,
42,1/11/2017,7:30 PM,@,Winnipeg Jets,7,4,W,,26,10,6,W 1,,30,8,1,2,0,,27,4,1,4,0,"15,294",2:29,
43,1/12/2017,8:00 PM,@,Minnesota Wild,1,7,L,,26,11,6,L 1,,21,10,1,1,0,,24,4,2,4,0,"19,104",2:22,
44,1/14/2017,7:00 PM,,New York Rangers,5,4,W,,27,11,6,W 1,,32,24,0,2,0,,33,9,1,3,1,"21,288",2:43,
45,1/16/2017,3:00 PM,@,Detroit Red Wings,0,1,L,,27,12,6,L 1,,18,8,0,1,0,,20,2,0,4,0,"20,027",2:24,
46,1/18/2017,7:30 PM,,Pittsburgh Penguins,1,4,L,,27,13,6,L 2,,20,4,0,1,0,,26,2,0,2,0,"21,288",2:28,
47,1/20/2017,7:30 PM,@,New Jersey Devils,3,1,W,,28,13,6,W 1,,26,6,3,7,0,,17,13,0,2,0,"15,345",2:29,
48,1/21/2017,7:00 PM,,Buffalo Sabres,2,3,L,OT,28,13,7,L 1,,38,6,0,1,0,,38,2,0,3,0,"21,288",2:31,
49,1/24/2017,7:30 PM,,Calgary Flames,5,1,W,,29,13,7,W 1,,20,12,2,3,1,,31,8,1,5,0,"21,288",2:29,
50,1/26/2017,7:00 PM,@,New York Islanders,1,3,L,,29,14,7,L 1,,22,10,1,3,0,,42,8,1,4,0,"12,019",2:25,
51,1/31/2017,7:30 PM,,Buffalo Sabres,5,2,W,,30,14,7,W 1,,35,4,0,1,0,,39,2,1,3,0,"21,288",2:23,
52,2/2/2017,7:00 PM,@,Philadelphia Flyers,1,3,L,,30,15,7,L 1,,16,6,0,1,0,,24,2,1,3,0,"19,768",2:22,
53,2/4/2017,1:00 PM,,Washington Capitals,2,3,L,,30,16,7,L 2,,22,6,0,3,0,,30,6,1,4,0,"21,288",2:37,
54,2/5/2017,1:00 PM,,Edmonton Oilers,0,1,L,SO,30,16,8,L 3,,22,8,0,1,0,,32,2,,4,,"21,288",2:37,
55,2/7/2017,9:00 PM,@,Colorado Avalanche,0,4,L,,30,17,8,L 4,,27,6,0,5,0,,26,12,1,2,0,"12,667",2:25,
56,2/9/2017,9:00 PM,@,Arizona Coyotes,5,4,W,OT,31,17,8,W 1,,40,6,1,2,0,,25,4,1,3,1,"14,098",2:41,
57,2/11/2017,7:00 PM,,St. Louis Blues,2,4,L,,31,18,8,L 1,,30,7,0,1,0,,22,7,0,1,0,"21,288",2:25,
58,2/12/2017,7:30 PM,@,Boston Bruins,0,4,L,,31,19,8,L 2,,25,24,0,6,0,,36,20,1,7,1,"17,565",2:36,
59,2/18/2017,2:00 PM,,Winnipeg Jets,1,3,L,,31,20,8,L 3,,20,6,0,4,0,,33,6,0,3,1,"21,288",2:26,
60,2/21/2017,7:00 PM,@,New York Rangers,3,2,W,SO,32,20,8,W 1,,28,8,1,3,0,,30,4,0,4,0,"18,006",2:39,
61,2/23/2017,7:30 PM,,New York Islanders,0,3,L,,32,21,8,L 1,,24,6,0,1,0,,24,4,0,2,0,"21,288",2:27,
62,2/25/2017,7:00 PM,@,Toronto Maple Leafs,3,2,W,OT,33,21,8,W 1,,28,4,1,4,0,,34,8,0,2,0,"19,843",2:31,
63,2/27/2017,7:00 PM,@,New Jersey Devils,4,3,W,OT,34,21,8,W 2,,33,6,1,2,0,,37,6,1,2,0,"13,270",2:40,
64,2/28/2017,7:30 PM,,Columbus Blue Jackets,1,0,W,OT,35,21,8,W 3,,30,4,1,4,0,,26,8,,2,,"21,288",2:48,
65,3/2/2017,7:30 PM,,Nashville Predators,2,1,W,,36,21,8,W 4,,26,4,0,3,0,,25,6,1,2,0,"21,288",2:40,
66,3/4/2017,7:00 PM,@,New York Rangers,4,1,W,,37,21,8,W 5,,35,2,0,1,0,,27,4,0,0,0,"18,006",2:25,
67,3/7/2017,10:00 PM,@,Vancouver Canucks,2,1,W,OT,38,21,8,W 6,,38,2,0,3,0,,28,6,0,1,0,"18,865",2:31,
68,3/9/2017,9:00 PM,@,Calgary Flames,0,5,L,,38,22,8,L 1,,24,12,0,2,0,,38,14,0,1,0,"19,289",2:33,
69,3/12/2017,7:00 PM,@,Edmonton Oilers,4,1,W,,39,22,8,W 1,,41,13,0,2,0,,25,11,0,3,0,"18,347",2:30,
70,3/14/2017,7:30 PM,,Chicago Blackhawks,2,4,L,,39,23,8,L 1,,42,2,0,2,0,,24,4,0,1,0,"21,288",2:35,
71,3/18/2017,7:00 PM,@,Ottawa Senators,4,3,W,SO,40,23,8,W 1,,32,8,0,2,0,,31,4,1,4,0,"19,531",2:39,
72,3/19/2017,7:30 PM,,Ottawa Senators,4,1,W,,41,23,8,W 2,,37,17,1,3,0,,31,19,0,2,0,"21,288",2:39,
73,3/21/2017,7:30 PM,,Detroit Red Wings,1,2,L,OT,41,23,9,L 1,,36,2,0,3,0,,36,6,1,1,0,"21,288",2:36,
74,3/23/2017,7:30 PM,,Carolina Hurricanes,1,4,L,,41,24,9,L 2,,22,4,0,1,0,,23,2,1,2,0,"21,288",2:26,
75,3/25/2017,7:00 PM,,Ottawa Senators,3,1,W,,42,24,9,W 1,,24,19,2,4,0,,32,19,0,3,0,"21,288",2:32,
76,3/28/2017,7:30 PM,,Dallas Stars,4,1,W,,43,24,9,W 2,,36,7,0,1,0,,28,7,0,1,0,"21,288",2:29,
77,3/30/2017,7:30 PM,,Florida Panthers,6,2,W,,44,24,9,W 3,,33,20,0,1,0,,31,6,0,3,0,"21,288",2:34,
78,4/1/2017,7:00 PM,@,Tampa Bay Lightning,2,1,W,OT,45,24,9,W 4,,36,4,0,2,0,,22,4,0,2,0,"19,092",2:32,
79,4/3/2017,7:30 PM,@,Florida Panthers,4,1,W,,46,24,9,W 5,,31,9,0,2,0,,32,9,0,2,0,"15,222",2:27,
80,4/5/2017,7:30 PM,@,Buffalo Sabres,1,2,L,,46,25,9,L 1,,32,0,0,1,0,,30,2,0,0,0,"18,815",2:20,
81,4/7/2017,7:30 PM,,Tampa Bay Lightning,2,4,L,,46,26,9,L 2,,29,4,0,4,1,,22,8,0,2,0,"21,288",2:32,
82,4/8/2017,7:00 PM,@,Detroit Red Wings,3,2,W,OT,47,26,9,W 1,,30,0,1,1,0,,27,2,0,0,0,"20,027",2:23,
