,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Jack Eichel,20,C,61,24,33,57,-13,22,14,10,0,4,19,14,0,249,9.6,1215,19:55,5.6,1,6.6,35,26,310,486,38.9
2,Ryan O'Reilly,25,C,72,20,35,55,-1,10,11,8,1,3,18,16,1,189,10.6,1545,21:28,4,1.9,6,45,21,1039,752,58
3,Sam Reinhart,21,C,79,17,30,47,-11,8,8,9,0,3,22,8,0,178,9.6,1360,17:13,3.3,1.3,4.6,40,21,86,124,41
4,Kyle Okposo,28,RW,65,19,26,45,-7,24,12,7,0,2,10,16,0,156,12.2,1233,18:58,3.7,1.3,5,25,53,54,45,54.5
5,Rasmus Ristolainen,22,D,79,6,39,45,-9,58,5,1,0,2,14,24,1,186,3.2,2091,26:28:00,3.1,4.5,7.6,161,195,0,0,
6,Evander Kane,25,LW,70,28,15,43,-17,113,25,3,0,5,10,5,0,260,10.8,1344,19:12,4.2,1,5.1,29,109,55,67,45.1
7,Brian Gionta,38,RW,82,15,20,35,-11,22,11,3,1,3,15,4,1,149,10.1,1362,16:36,1.8,1.3,3,30,54,46,60,43.4
8,Matt Moulson,33,LW,81,14,18,32,-4,10,3,11,0,2,11,7,0,134,10.4,940,11:36,2.5,1,3.5,18,37,1,3,25
9,Marcus Foligno,25,LW,80,13,10,23,-1,73,12,0,1,0,10,0,0,97,13.4,1238,15:28,0.5,1.5,2.1,57,279,1,4,20
10,Jake McCabe,23,D,76,3,17,20,-7,26,2,1,0,1,14,3,0,79,3.8,1574,20:42,0.6,3.4,4,114,73,0,0,
11,Cody Franson,29,D,68,3,16,19,-5,34,2,1,0,0,15,1,0,93,3.2,1257,18:29,0.9,2.7,3.6,68,87,0,0,
12,Zemgus Girgensons,23,C,75,7,9,16,-7,18,7,0,0,0,9,0,0,112,6.3,987,13:10,-0.2,1,0.8,26,120,273,306,47.2
13,Tyler Ennis,27,LW,51,5,8,13,-10,12,5,0,0,1,5,3,0,89,5.6,655,12:50,0.2,0.4,0.6,23,45,3,13,18.8
14,Johan Larsson,24,C,36,6,5,11,-7,20,5,1,0,2,5,0,0,49,12.2,607,16:51,0.2,0.5,0.7,23,33,261,271,49.1
15,Zach Bogosian,26,D,56,2,9,11,-17,46,2,0,0,1,8,1,0,73,2.7,1125,20:05,0,1.4,1.4,97,59,0,1,0
16,William Carrier,22,LW,41,5,3,8,-1,21,5,0,0,1,3,0,0,50,10,369,9:00,0.4,0.4,0.8,10,112,1,1,50
17,Justin Falk,28,D,52,0,8,8,-3,29,0,0,0,0,8,0,0,33,0,712,13:42,0,1.5,1.5,40,101,1,0,100
18,Taylor Fedun,28,D,27,0,7,7,3,16,0,0,0,0,4,3,0,24,0,361,13:22,0.3,1.2,1.5,20,7,0,0,
19,Evan Rodrigues,23,LW,30,4,2,6,-7,4,3,1,0,0,2,0,0,51,7.8,388,12:56,0,0.2,0.2,12,12,104,146,41.6
20,Josh Gorges,32,D,66,1,5,6,-3,50,1,0,0,0,5,0,0,40,2.5,1218,18:27,-0.7,2.8,2.1,108,143,0,1,0
21,Dmitry Kulikov,26,D,47,2,3,5,-26,26,1,1,0,0,1,2,0,42,4.8,1029,21:54,-0.5,0.4,-0.1,72,60,0,0,
22,Nicholas Baptiste,21,RW,14,3,1,4,1,6,3,0,0,0,1,0,0,16,18.8,129,9:14,0.4,0.2,0.6,1,12,1,2,33.3
23,Justin Bailey,21,RW,32,2,2,4,0,4,2,0,0,1,2,0,0,36,5.6,340,10:38,-0.3,0.4,0.1,14,27,0,1,0
24,Derek Grant,26,C,40,0,3,3,-3,19,0,0,0,0,3,0,0,34,0,397,9:55,-0.8,0.4,-0.4,25,25,172,159,52
25,Nicolas Deslauriers,25,LW,42,0,2,2,-6,38,0,0,0,0,2,0,0,26,0,311,7:25,-0.7,0.1,-0.5,5,109,0,3,0
26,Hudson Fasching,21,RW,10,0,1,1,-1,2,0,0,0,0,1,0,0,6,0,104,10:25,-0.2,0.1,-0.1,2,17,0,0,
27,Robin Lehner,25,G,59,0,1,1,0,6,0,0,0,0,1,0,0,0,,3405,57:43:00,0,0,12.9,0,0,0,0,
28,Alexander Nylander,18,RW,4,0,1,1,-2,0,0,0,0,0,1,0,0,4,0,49,12:20,0,0,0,2,1,0,2,0
29,Cal O'Reilly,30,C,11,0,1,1,-6,0,0,0,0,0,1,0,0,3,0,87,7:56,-0.1,-0.1,-0.3,3,2,32,34,48.5
30,Cole Schneider,26,LW,4,0,1,1,2,0,0,0,0,0,1,0,0,6,0,29,7:09,0,0.1,0.2,2,3,0,0,
31,C.J. Smith,22,LW,2,0,1,1,-1,0,0,0,0,0,1,0,0,2,0,23,11:32,0,0,0,0,0,0,0,
32,Brady Austin,23,D,5,0,0,0,0,4,0,0,0,0,0,0,0,8,0,80,16:05,-0.1,0.2,0.1,0,6,0,0,
33,Erik Burgdoerfer,28,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,22,11:10,0,0,-0.1,0,5,0,0,
34,Brendan Guhle,19,D,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,49,16:21,-0.1,0.2,0.1,8,3,0,0,
35,Sean Malone,21,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12:12,0,0,0,1,0,5,3,62.5
36,Casey Nelson,24,D,11,0,0,0,-3,4,0,0,0,0,0,0,0,10,0,139,12:36,-0.2,0.1,-0.1,5,15,0,0,
37,Anders Nilsson,26,G,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,1484,57:05:00,0,0,6,0,0,0,0,
38,Linus Ullmark,23,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,59,58:44:00,0,0,0.2,0,0,0,0,
,Team Total,,,82,199,332,531,-183,725,139,57,3,31,222,107,3,2491,8,,,28,32.3,79.4,1121,1872,2445,2484,49.6
