,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Bo Horvat,21,C,81,20,32,52,-7,27,15,3,2,1,25,7,0,158,12.7,1461,18:02,4,1.7,5.7,41,65,756,742,50.5
2,Henrik Sedin,36,C,82,15,35,50,-27,28,14,1,0,4,21,14,0,99,15.2,1561,19:02,2.9,1,3.9,11,15,611,635,49
3,Daniel Sedin,36,LW,82,15,29,44,-16,32,9,6,0,3,21,8,0,216,6.9,1508,18:23,2.4,1.3,3.8,18,20,3,3,50
4,Sven Baertschi,24,LW,68,18,17,35,-6,8,16,2,0,5,13,4,0,114,15.8,1080,15:53,2.9,1.2,4.1,29,52,1,0,100
5,Brandon Sutter,27,C,81,17,17,34,-20,12,13,4,0,1,13,4,0,160,10.6,1523,18:48,1.5,1.2,2.7,53,78,788,664,54.3
6,Markus Granlund,23,C,69,19,13,32,-19,14,16,3,0,3,9,4,0,122,15.6,1194,17:19,2.4,0.8,3.2,11,32,40,61,39.6
7,Loui Eriksson,31,LW,65,11,13,24,-9,8,6,5,0,1,10,2,1,132,8.3,1214,18:41,0.5,1.2,1.8,26,11,0,1,0
8,Troy Stecher,22,D,71,3,21,24,-16,25,2,1,0,0,14,7,0,125,2.4,1419,19:59,1.3,2.4,3.7,66,51,0,0,
9,Alexander Edler,30,D,68,6,15,21,-20,36,4,2,0,0,13,2,0,138,4.3,1653,24:19:00,1,2.7,3.6,138,106,2,1,66.7
10,Alexandre Burrows,35,RW,55,9,11,20,-3,53,9,0,0,1,10,0,1,114,7.9,823,14:58,1,1,1.9,20,44,0,6,0
11,Ben Hutton,23,D,71,5,14,19,-22,31,3,2,0,1,5,9,0,130,3.8,1455,20:30,0.9,2,2.9,106,46,0,0,
12,Jannik Hansen,30,RW,28,6,7,13,2,27,6,0,0,1,7,0,0,56,10.7,458,16:21,0.9,0.7,1.5,8,20,0,0,
13,Luca Sbisa,27,D,82,2,11,13,-1,40,2,0,0,1,11,0,0,75,2.7,1556,18:59,-0.3,4,3.7,122,130,0,0,
14,Chris Tanev,27,D,53,2,8,10,3,14,2,0,0,1,8,0,0,39,5.1,1078,20:21,0,3.1,3.1,91,19,0,0,
15,Jack Skille,29,RW,55,5,4,9,0,12,5,0,0,0,4,0,0,73,6.8,484,8:48,0.2,0.6,0.9,24,74,2,0,100
16,Michael Chaput,24,C,68,4,5,9,-12,29,4,0,0,0,5,0,0,64,6.3,750,11:01,-0.6,0.5,-0.1,29,68,203,182,52.7
17,Nikita Tryamkin,22,D,66,2,7,9,-7,64,2,0,0,0,7,0,0,65,3.1,1105,16:44,-0.1,2.3,2.2,87,145,0,0,
18,Jayson Megna,26,C,58,4,4,8,-4,6,4,0,0,0,3,1,0,72,5.6,721,12:26,-0.7,0.8,0.1,23,87,2,14,12.5
19,Reid Boucher,23,LW,27,5,2,7,-7,6,4,1,0,0,2,0,0,55,9.1,329,12:11,0.4,0.1,0.6,7,8,0,1,0
20,Erik Gudbranson,25,D,30,1,5,6,-14,18,1,0,0,1,5,0,0,40,2.5,610,20:20,0,0.4,0.5,44,66,0,0,
21,Philip Larsen,27,D,26,1,5,6,-8,4,1,0,0,0,3,2,0,32,3.1,428,16:28,0.3,0.5,0.7,22,12,0,0,
22,Brock Boeser,19,RW,9,4,1,5,0,0,2,2,0,1,1,0,0,25,16,146,16:13,0.6,0.2,0.8,0,5,0,0,
23,Brendan Gaunce,22,LW,57,0,5,5,-2,33,0,0,0,0,5,0,0,51,0,541,9:29,-1,0.6,-0.3,12,94,84,80,51.2
24,Derek Dorsett,30,RW,14,1,3,4,-6,33,1,0,0,0,3,0,0,24,4.2,139,9:56,0.2,-0.1,0.1,6,35,1,0,100
25,Nikolay Goldobin,21,RW,12,3,0,3,1,0,3,0,0,1,0,0,0,10,30,140,11:38,0.3,0.2,0.5,3,0,0,0,
26,Alex Biega,28,D,36,0,3,3,-4,18,0,0,0,0,3,0,0,37,0,474,13:10,-0.3,0.9,0.7,24,97,0,0,
27,Drew Shore,26,C,14,0,2,2,-3,4,0,0,0,0,2,0,0,11,0,168,11:58,-0.2,0.1,-0.1,3,22,38,33,53.5
28,Ryan Miller,36,G,54,0,1,1,0,22,0,0,0,0,1,0,0,0,,3212,59:29:00,0,0,10.3,0,0,0,0,
29,Anton Rodin,26,RW,3,0,1,1,1,0,0,0,0,0,1,0,0,2,0,27,8:55,0,0.1,0.1,1,0,0,0,
30,Jake Virtanen,20,RW,10,0,1,1,1,2,0,0,0,0,1,0,0,13,0,101,10:09,-0.2,0.2,0,4,17,3,0,100
31,Richard Bachman,29,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,295,59:02:00,0,0,1.1,0,0,0,0,
32,Joseph Cramarossa,24,LW,10,0,0,0,-1,9,0,0,0,0,0,0,0,10,0,106,10:35,-0.3,0.1,-0.2,1,25,0,0,
33,Alexandre Grenier,25,RW,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,19,6:29,-0.1,0,-0.1,0,3,2,0,100
34,Joseph Labate,23,C,13,0,0,0,-2,21,0,0,0,0,0,0,0,5,0,88,6:46,-0.2,0,-0.2,2,23,1,0,100
35,Jacob Markstrom,27,G,26,0,0,0,0,2,0,0,0,0,0,0,0,0,,1417,54:30:00,0,0,3.8,0,0,0,0,
36,Evan McEneny,22,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,15,15:08,0,0,-0.1,0,0,0,0,
37,Griffen Molino,23,C,5,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,53,10:35,-0.1,0,-0.2,1,1,0,0,
38,Borna Rendulic,24,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4:51,0,0,0,0,0,0,0,
39,Michael Zalewski,24,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,8:03,0,0,-0.1,1,0,0,0,
,Team Total,,,82,178,292,470,-233,638,144,32,2,26,226,64,2,2273,7.8,,,19.4,31.8,66.4,1034,1471,2537,2423,51.1
