,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Cam Atkinson,27,RW,82,35,27,62,13,22,22,10,3,9,16,11,0,240,14.6,1483,18:05,6.8,2,8.9,34,33,2,1,66.7
2,Alexander Wennberg,22,C,80,13,46,59,9,21,11,2,0,5,25,21,0,109,11.9,1470,18:23,4,1.9,5.9,56,58,609,676,47.4
3,Brandon Saad,24,LW,82,24,29,53,23,8,23,1,0,4,27,2,0,210,11.4,1396,17:02,4.8,2.4,7.2,26,24,4,5,44.4
4,Nick Foligno,29,LW,79,26,25,51,-4,55,15,11,0,5,15,10,0,185,14.1,1456,18:26,4.6,1.3,5.9,50,157,41,48,46.1
5,Sam Gagner,27,C,81,18,32,50,10,22,10,8,0,1,22,10,0,178,10.1,1111,13:43,4.6,1.5,6.1,16,22,202,223,47.5
6,Zach Werenski,19,D,78,11,36,47,17,14,7,4,0,1,19,17,0,188,5.9,1631,20:55,4.5,4.5,9.1,90,41,0,0,
7,Seth Jones,22,D,75,12,30,42,6,24,11,1,0,3,24,6,0,152,7.9,1755,23:24,3.9,3.9,7.8,118,61,0,0,
8,Brandon Dubinsky,30,C,80,12,29,41,16,91,10,1,1,5,26,3,0,115,10.4,1432,17:54,2,2.1,4.1,60,248,770,718,51.7
9,Scott Hartnell,34,LW,78,13,24,37,14,63,11,2,0,1,23,1,0,104,12.5,941,12:04,3,1.5,4.6,40,94,3,3,50
10,Boone Jenner,23,C,82,18,16,34,14,52,16,0,2,4,15,1,0,211,8.5,1317,16:04,2.2,1.9,4.1,80,216,92,92,50
11,Josh Anderson,22,RW,78,17,12,29,12,89,17,0,0,3,12,0,0,119,14.3,938,12:01,2.6,1.5,4,40,147,8,21,27.6
12,William Karlsson,24,C,81,6,19,25,10,10,5,1,0,3,17,0,2,96,6.3,1084,13:23,0.5,1.5,2,24,35,435,525,45.3
13,David Savard,26,D,74,6,17,23,33,44,6,0,0,0,15,0,2,135,4.4,1616,21:50,1.3,5.8,7.1,126,127,0,0,
14,Jack Johnson,30,D,82,5,18,23,23,32,4,1,0,1,16,1,1,116,4.3,1789,21:49,0.9,5.3,6.3,134,94,1,0,100
15,Matt Calvert,27,LW,65,10,5,15,-4,48,7,0,3,1,4,0,1,92,10.9,868,13:21,0.4,0.7,1.1,34,61,2,14,12.5
16,Lukas Sedlak,23,LW,62,7,6,13,10,25,6,0,1,0,6,0,0,57,12.3,603,9:43,0.6,1,1.6,28,66,232,211,52.4
17,Oliver Bjorkstrand,21,RW,26,6,7,13,4,6,6,0,0,2,7,0,0,55,10.9,366,14:05,1.1,0.5,1.7,9,14,1,0,100
18,Ryan Murray,23,D,60,2,9,11,3,24,2,0,0,0,7,1,1,52,3.8,1100,18:20,0.1,2.4,2.4,96,23,0,0,
19,Markus Nutivaara,22,D,66,2,5,7,7,6,2,0,0,0,5,0,0,66,3,872,13:13,-0.1,2.3,2.2,38,36,0,0,
20,Kyle Quincey,31,D,20,2,1,3,0,12,2,0,0,0,1,0,0,18,11.1,318,15:55,0.2,0.6,0.8,26,24,0,0,
21,Scott Harrington,23,D,22,1,2,3,3,10,1,0,0,0,2,0,0,16,6.3,286,13:00,0.1,0.8,0.9,24,21,0,0,
22,Dalton Prout,26,D,15,0,3,3,4,14,0,0,0,0,3,0,0,6,0,196,13:04,0.1,0.7,0.8,16,24,0,0,
23,Markus Hannikainen,23,LW,10,1,1,2,0,6,1,0,0,0,1,0,0,8,12.5,91,9:08,0.1,0.1,0.2,5,16,0,0,
24,Gabriel Carlsson,20,D,2,0,1,1,-2,0,0,0,0,0,1,0,0,3,0,34,17:08,0.1,-0.1,0,2,5,0,0,
25,Sergei Bobrovsky,28,G,63,0,0,0,0,8,0,0,0,0,0,0,0,0,,3707,58:51:00,0,0,14.9,0,0,0,0,
26,Anton Forsberg,24,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,59,58:35:00,0,0,0,,0,,,
27,Lauri Korpikoski,30,LW,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,74,8:15,-0.2,0.1,-0.1,4,3,0,0,
28,Joonas Korpisalo,22,G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,791,56:28:00,0,0,2,0,0,0,0,
29,Curtis McElhinney,33,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,376,53:42:00,0,0,1.4,0,0,0,0,
30,Sonny Milano,20,LW,4,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,47,11:41,-0.1,-0.1,-0.2,2,3,0,0,
31,T.J. Tynan,24,RW,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,22,7:29,-0.1,0,-0.1,1,1,0,0,
,Team Total,,,82,247,400,647,217,706,195,42,10,48,309,84,7,2540,9.7,,,47.9,46.2,112.4,1179,1654,2402,2537,48.6
