,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Nathan MacKinnon,21,C,82,16,37,53,-14,16,12,2,2,4,25,12,0,251,6.4,1635,19:57,3.1,1.7,4.8,30,56,768,752,50.5
2,Matt Duchene,26,C,77,18,23,41,-34,12,14,3,1,3,17,6,0,160,11.3,1409,18:18,2.6,0.5,3.1,41,42,687,411,62.6
3,Mikko Rantanen,20,RW,75,20,18,38,-25,22,16,4,0,2,12,6,0,133,15,1354,18:03,2.6,0.8,3.5,33,29,29,21,58
4,Tyson Barrie,25,D,74,7,31,38,-34,18,6,1,0,2,22,9,0,182,3.8,1725,23:18,2.8,1.6,4.4,75,32,0,0,
5,Gabriel Landeskog,24,LW,72,18,15,33,-25,62,12,5,1,2,14,1,0,169,10.7,1352,18:47,1.9,0.8,2.7,41,143,62,63,49.6
6,Mikhail Grigorenko,22,C,75,10,13,23,-14,18,10,0,0,0,9,4,0,85,11.8,1057,14:05,0.7,0.9,1.6,26,27,111,81,57.8
7,Blake Comeau,30,LW,77,8,12,20,-19,58,5,2,1,1,12,0,0,103,7.8,1154,14:59,-0.1,0.8,0.7,22,129,114,132,46.3
8,Rene Bourque,35,RW,65,12,6,18,-19,56,10,2,0,2,6,0,0,111,10.8,906,13:57,0.8,0.5,1.2,26,75,0,5,0
9,Jarome Iginla,39,RW,61,8,10,18,-21,54,4,4,0,0,6,4,0,120,6.7,900,14:45,0.4,0.4,0.7,17,79,12,7,63.2
10,Francois Beauchemin,36,D,81,5,13,18,-14,32,5,0,0,1,10,3,0,132,3.8,1743,21:31,0.4,3.3,3.7,156,73,0,0,
11,Erik Johnson,28,D,46,2,15,17,-6,9,2,0,0,1,9,6,0,96,2.1,1016,22:05,0.8,2.1,2.9,98,87,0,0,
12,Sven Andrighetto,23,RW,19,5,11,16,0,8,3,2,0,0,10,1,0,37,13.5,332,17:30,1.4,0.5,1.9,10,13,7,3,70
13,Carl Soderberg,31,C,80,6,8,14,-26,22,5,1,0,0,7,1,0,128,4.7,1076,13:27,-0.8,0.4,-0.4,42,34,365,337,52
14,Fedor Tyutin,33,D,69,1,12,13,-25,38,1,0,0,0,12,0,0,46,2.2,1307,18:56,-0.1,1.3,1.2,90,116,0,0,
15,Patrick Wiercioch,26,D,57,4,8,12,-18,23,4,0,0,0,8,0,0,63,6.3,950,16:40,0.6,0.9,1.5,57,52,1,0,100
16,Matthew Nieto,24,LW,43,7,4,11,-9,4,7,0,0,1,3,0,1,61,11.5,685,15:56,0.1,0.6,0.6,26,18,2,2,50
17,Nikita Zadorov,21,D,56,0,10,10,-20,73,0,0,0,0,8,2,0,61,0,1066,19:02,-0.2,1.1,0.8,69,153,0,0,
18,Mark Barberio,26,D,34,2,7,9,-6,4,1,1,0,0,5,2,0,52,3.8,702,20:40,0.3,1.3,1.6,32,10,0,0,
19,Joe Colborne,27,C,62,4,4,8,-21,34,2,2,0,0,3,1,0,48,8.3,663,10:42,-0.5,0,-0.5,14,86,45,72,38.5
20,Andreas Martinsen,26,LW,55,3,4,7,-10,32,3,0,0,0,3,0,1,59,5.1,530,9:38,-0.4,0.3,-0.1,25,146,3,0,100
21,John Mitchell,32,C,65,3,4,7,-12,45,3,0,0,1,4,0,0,57,5.3,816,12:33,-1.2,0.6,-0.6,45,88,298,240,55.4
22,J.T. Compher,21,LW,21,3,2,5,0,4,2,1,0,1,2,0,0,30,10,314,14:56,0,0.4,0.4,21,11,78,86,47.6
23,Cody Goloubef,27,D,33,0,5,5,-11,25,0,0,0,0,5,0,0,35,0,561,16:59,-0.1,0.5,0.4,33,30,0,0,
24,Calvin Pickard,24,G,50,0,2,2,0,2,0,0,0,0,2,0,0,0,,2820,56:24:00,0,0,7.1,0,0,0,0,
25,Samuel Henley,23,C,1,1,0,1,1,2,1,0,0,0,0,0,0,1,100,5,5:18,0.2,0,0.3,0,2,0,1,0
26,Tyson Jost,18,C,6,1,0,1,-5,0,1,0,0,0,0,0,0,9,11.1,94,15:41,0,-0.1,-0.1,3,3,28,42,40
27,Cody McLeod,32,LW,28,1,0,1,-2,52,1,0,0,0,0,0,0,12,8.3,165,5:53,-0.2,0.1,-0.1,2,50,0,0,
28,Eric Gelinas,25,D,27,0,1,1,-4,12,0,0,0,0,1,0,0,29,0,313,11:35,-0.3,0.5,0.2,16,32,0,1,0
29,A.J. Greer,20,LW,5,0,1,1,-2,4,0,0,0,0,1,0,0,8,0,68,13:39,-0.1,0,-0.1,3,4,0,0,
