,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Nikita Kucherov,23,RW,74,40,45,85,13,38,23,17,0,7,30,15,0,246,16.3,1438,19:26,9.7,2.2,12,20,30,0,0,
2,Victor Hedman,26,D,79,16,56,72,3,47,12,4,0,5,27,29,0,166,9.6,1936,24:30:00,7.3,4.7,12,132,93,0,0,
3,Jonathan Drouin,21,LW,73,21,32,53,-13,16,12,9,0,6,15,17,0,183,11.5,1293,17:42,4.5,1,5.5,16,50,96,124,43.6
4,Ondrej Palat,25,LW,75,17,35,52,8,39,12,5,0,3,25,10,0,162,10.5,1434,19:07,3.6,2,5.6,66,141,9,25,26.5
5,Tyler Johnson,26,C,66,19,26,45,-5,28,13,6,0,3,15,11,0,130,14.6,1242,18:49,3.6,1.3,4.8,30,46,583,539,52
6,Brayden Point,20,C,68,18,22,40,4,14,13,5,0,2,15,7,0,122,14.8,1165,17:08,3.1,1.5,4.7,31,39,238,294,44.7
7,Alex Killorn,27,LW,81,19,17,36,-9,66,14,4,1,4,10,6,1,176,10.8,1458,18:00,2,1.3,3.3,25,99,4,8,33.3
8,Valtteri Filppula,32,C,59,7,27,34,1,24,7,0,0,1,20,7,0,74,9.5,1033,17:30,1.6,1.3,2.9,28,21,430,494,46.5
9,Vladislav Namestnikov,24,C,74,10,18,28,-4,31,7,3,0,0,14,3,1,114,8.8,1094,14:47,1.1,1.1,2.2,31,72,209,271,43.5
10,Brian Boyle,32,C,54,13,9,22,5,48,10,3,0,2,6,3,0,109,11.9,740,13:42,1.8,1.1,2.9,31,83,175,155,53
11,Anton Stralman,30,D,73,5,17,22,1,20,4,1,0,0,11,6,0,130,3.8,1672,22:54,0.9,3.9,4.8,96,106,0,0,
12,Steven Stamkos,26,C,17,9,11,20,3,14,6,3,0,1,7,4,0,58,15.5,304,17:52,2.3,0.5,2.8,3,21,106,92,53.5
13,Andrej Sustr,26,D,80,3,11,14,-10,43,3,0,0,1,11,0,0,93,3.2,1407,17:35,0.1,2.4,2.5,102,45,0,1,0
14,Braydon Coburn,31,D,80,5,7,12,-1,50,4,0,1,0,7,0,0,102,4.9,1339,16:44,0.2,3,3.2,76,109,0,0,
15,Nikita Nesterov,23,D,35,3,9,12,-3,20,2,1,0,0,8,1,0,46,6.5,580,16:35,0.9,1.1,2,17,56,0,0,
16,Jake Dotchin,22,D,35,0,11,11,10,35,0,0,0,0,11,0,0,50,0,645,18:26,0.4,2.3,2.7,19,85,0,0,
17,Cedric Paquette,23,C,58,4,6,10,-6,80,4,0,0,0,6,0,0,68,5.9,668,11:31,-0.3,0.5,0.2,46,144,200,234,46.1
