,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,1/6/2018,7:00 PM,@,Toronto Maple Leafs,2,3,L,SO,16,19,6,L 3,,36,8,1,3,0,,36,6,0,4,0,"19,361",2:59,
42,1/7/2018,7:00 PM,@,Montreal Canadiens,2,5,L,,16,20,6,L 4,,36,6,0,3,0,,45,6,1,3,0,"21,302",2:33,
43,1/9/2018,7:00 PM,@,Washington Capitals,1,3,L,,16,21,6,L 5,,38,9,1,3,0,,36,19,0,2,0,"18,506",2:36,
44,1/12/2018,7:00 PM,@,Columbus Blue Jackets,5,2,W,,17,21,6,W 1,,29,4,2,3,0,,29,6,1,2,0,"16,705",2:30,
45,1/14/2018,8:00 PM,@,Minnesota Wild,3,2,W,OT,18,21,6,W 2,,25,2,0,1,0,,23,2,1,1,0,"18,927",2:27,
46,1/20/2018,10:00 PM,@,Edmonton Oilers,2,5,L,,18,22,6,L 1,,27,6,1,3,0,,35,6,0,3,0,"18,347",2:25,
47,1/21/2018,8:00 PM,@,Winnipeg Jets,0,1,L,,18,23,6,L 2,,29,2,0,2,0,,36,4,0,2,0,"15,321",2:28,
48,1/23/2018,10:00 PM,,Los Angeles Kings,6,2,W,,19,23,6,W 1,,35,10,3,7,0,,32,12,1,5,0,"18,865",2:42,
49,1/25/2018,10:00 PM,,Buffalo Sabres,0,4,L,,19,24,6,L 1,,30,6,0,2,0,,26,6,1,3,1,"18,340",2:23,
50,1/30/2018,10:00 PM,,Colorado Avalanche,4,3,W,OT,20,24,6,W 1,,26,10,1,4,0,,30,10,1,4,0,"18,257",2:22,
51,2/1/2018,10:00 PM,,Chicago Blackhawks,4,2,W,,21,24,6,W 2,,21,8,0,2,0,,28,4,0,4,0,"18,144",2:15,
52,2/3/2018,10:00 PM,,Tampa Bay Lightning,2,4,L,,21,25,6,L 1,,33,10,0,3,0,,28,8,1,4,0,"18,865",2:26,
53,2/6/2018,7:30 PM,@,Florida Panthers,1,3,L,,21,26,6,L 2,,27,8,0,1,1,,40,2,1,4,0,"10,758",2:26,
54,2/8/2018,7:30 PM,@,Tampa Bay Lightning,2,5,L,,21,27,6,L 3,,29,6,1,3,0,,36,6,2,3,0,"19,092",2:25,
55,2/9/2018,7:30 PM,@,Carolina Hurricanes,1,4,L,,21,28,6,L 4,,22,13,0,2,0,,33,9,0,3,0,"13,123",2:22,
56,2/11/2018,4:00 PM,@,Dallas Stars,6,0,W,,22,28,6,W 1,,41,2,1,6,0,,30,12,,1,,"17,889",2:36,
57,2/14/2018,10:00 PM,,Florida Panthers,3,4,L,,22,29,6,L 1,,37,8,1,6,0,,34,12,1,4,0,"17,412",2:31,
58,2/15/2018,10:30 PM,@,San Jose Sharks,1,4,L,,22,30,6,L 2,,44,4,0,1,0,,30,2,0,3,0,"17,274",2:22,
59,2/17/2018,10:00 PM,,Boston Bruins,6,1,W,,23,30,6,W 1,,23,13,0,0,1,,45,5,0,5,0,"18,865",2:28,
60,2/20/2018,10:00 PM,,Colorado Avalanche,4,5,L,OT,23,30,7,L 1,,28,12,1,3,0,,34,6,5,6,0,"18,107",2:34,
61,2/23/2018,10:30 PM,@,Vegas Golden Knights,3,6,L,,23,31,7,L 2,,33,4,1,3,0,,33,6,1,2,0,"18,207",2:24,
62,2/25/2018,9:30 PM,@,Arizona Coyotes,3,1,W,,24,31,7,W 1,,27,10,1,4,1,,42,8,1,6,0,"10,935",2:24,
63,2/26/2018,9:00 PM,@,Colorado Avalanche,1,3,L,,24,32,7,L 1,,32,10,0,2,0,,28,4,1,5,0,"12,654",2:28,
64,2/28/2018,10:00 PM,,New York Rangers,5,6,L,OT,24,32,8,L 2,,55,4,1,3,0,,27,6,0,2,0,"18,044",2:31,
65,3/2/2018,10:00 PM,,Nashville Predators,3,4,L,OT,24,32,9,L 3,,27,6,2,5,0,,43,21,0,2,0,"18,470",2:36,
66,3/5/2018,10:00 PM,,New York Islanders,4,3,W,OT,25,32,9,W 1,,23,8,0,1,0,,34,2,1,4,0,"17,307",2:30,
67,3/7/2018,10:00 PM,,Arizona Coyotes,1,2,L,,25,33,9,L 1,,17,6,0,1,0,,34,2,1,3,0,"17,742",2:19,
68,3/9/2018,10:00 PM,,Minnesota Wild,2,5,L,,25,34,9,L 2,,32,4,0,1,0,,36,2,0,2,0,"17,918",2:28,
69,3/11/2018,9:00 PM,@,Arizona Coyotes,0,1,L,,25,35,9,L 3,,27,4,0,1,0,,24,2,1,2,0,"11,697",2:22,
70,3/12/2018,10:30 PM,@,Los Angeles Kings,0,3,L,,25,36,9,L 4,,35,8,0,3,0,,33,8,0,3,0,"18,230",2:28,
71,3/14/2018,10:00 PM,@,Anaheim Ducks,0,3,L,,25,37,9,L 5,,32,22,0,2,0,,37,4,1,6,0,"16,561",2:26,
72,3/17/2018,10:00 PM,,San Jose Sharks,3,5,L,,25,38,9,L 6,,31,8,3,4,0,,30,8,1,4,0,"18,332",2:32,
73,3/20/2018,10:00 PM,@,Vegas Golden Knights,1,4,L,,25,39,9,L 7,,30,6,0,1,0,,28,2,0,3,0,"18,214",2:26,
74,3/22/2018,8:30 PM,@,Chicago Blackhawks,,,,,,,,,,,,,,,,,,,,,,,
75,3/23/2018,8:00 PM,@,St. Louis Blues,,,,,,,,,,,,,,,,,,,,,,,
76,3/25/2018,7:00 PM,@,Dallas Stars,,,,,,,,,,,,,,,,,,,,,,,
77,3/27/2018,10:00 PM,,Anaheim Ducks,,,,,,,,,,,,,,,,,,,,,,,
78,3/29/2018,10:00 PM,,Edmonton Oilers,,,,,,,,,,,,,,,,,,,,,,,
79,3/31/2018,4:00 PM,,Columbus Blue Jackets,,,,,,,,,,,,,,,,,,,,,,,
80,4/3/2018,10:00 PM,,Vegas Golden Knights,,,,,,,,,,,,,,,,,,,,,,,
81,4/5/2018,10:00 PM,,Arizona Coyotes,,,,,,,,,,,,,,,,,,,,,,,
82,4/7/2018,10:00 PM,@,Edmonton Oilers,,,,,,,,,,,,,,,,,,,,,,,
