,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,1/7/2018,1:00 PM,@,New York Islanders,4,5,L,SO,22,11,8,L 5,,46,6,0,5,1,,38,10,1,3,0,"15,136",2:58,
42,1/13/2018,7:00 PM,,Philadelphia Flyers,3,5,L,,22,12,8,L 6,,29,4,2,7,0,,25,14,2,2,0,"16,514",2:33,
43,1/16/2018,7:00 PM,@,New York Islanders,4,1,W,,23,12,8,W 1,,42,9,1,3,0,,26,9,0,2,0,"12,695",2:26,
44,1/18/2018,7:00 PM,,Washington Capitals,4,3,W,OT,24,12,8,W 2,,32,25,0,3,0,,19,11,0,5,0,"14,163",2:32,
45,1/20/2018,1:00 PM,@,Philadelphia Flyers,1,3,L,,24,13,8,L 1,,29,13,1,5,0,,31,15,0,4,0,"19,934",2:24,
46,1/22/2018,7:00 PM,,Detroit Red Wings,0,3,L,,24,14,8,L 2,,37,4,0,5,0,,30,10,0,2,0,"13,847",2:30,
47,1/23/2018,7:00 PM,@,Boston Bruins,2,3,L,,24,15,8,L 3,,39,8,0,4,0,,24,8,1,4,0,"17,565",2:45,
48,1/25/2018,7:00 PM,,Nashville Predators,0,3,L,,24,16,8,L 4,,27,4,0,2,0,,27,4,0,2,1,"14,039",2:20,
49,1/30/2018,7:00 PM,@,Buffalo Sabres,3,1,W,,25,16,8,W 1,,28,8,0,0,0,,28,0,1,4,0,"17,460",2:22,
50,2/1/2018,7:00 PM,,Philadelphia Flyers,4,3,W,,26,16,8,W 2,,22,18,2,4,0,,25,20,2,3,0,"13,906",2:33,
51,2/3/2018,7:00 PM,,Pittsburgh Penguins,3,1,W,,27,16,8,W 3,,38,7,0,3,0,,16,11,0,1,0,"16,514",2:29,
52,2/6/2018,7:30 PM,@,Ottawa Senators,3,5,L,,27,17,8,L 1,,33,13,1,4,0,,32,15,2,3,0,"13,991",2:35,
53,2/8/2018,7:00 PM,,Calgary Flames,2,3,L,,27,18,8,L 2,,32,0,1,2,0,,25,4,0,0,0,"13,085",2:24,
54,2/10/2018,7:00 PM,@,Columbus Blue Jackets,1,6,L,,27,19,8,L 3,,35,12,0,1,0,,50,4,1,5,0,"18,510",2:37,
55,2/11/2018,7:00 PM,,Boston Bruins,3,5,L,,27,20,8,L 4,,38,8,0,7,0,,27,26,1,4,2,"16,514",2:34,
56,2/13/2018,7:00 PM,@,Philadelphia Flyers,5,4,W,SO,28,20,8,W 1,,36,10,0,3,0,,35,8,1,5,0,"19,312",2:50,
57,2/15/2018,7:00 PM,,Carolina Hurricanes,5,2,W,,29,20,8,W 2,,22,6,0,2,0,,29,4,0,3,0,"14,079",2:21,
58,2/17/2018,7:00 PM,@,Tampa Bay Lightning,4,3,W,,30,20,8,W 3,,28,14,0,3,1,,51,8,2,6,0,"19,092",2:33,
59,2/18/2018,5:00 PM,@,Carolina Hurricanes,3,2,W,OT,31,20,8,W 4,,21,8,1,3,0,,42,8,0,3,0,"18,680",2:30,
60,2/20/2018,7:00 PM,,Columbus Blue Jackets,1,2,L,,31,21,8,L 1,,31,6,0,2,0,,19,4,0,3,0,"14,024",2:17,
61,2/22/2018,7:00 PM,,Minnesota Wild,2,4,L,,31,22,8,L 2,,40,4,1,3,0,,25,6,0,2,0,"13,316",2:27,
62,2/24/2018,6:15 PM,,New York Islanders,2,1,W,,32,22,8,W 1,,33,4,0,1,0,,31,2,0,2,0,"16,514",2:27,
63,2/27/2018,7:00 PM,@,Pittsburgh Penguins,3,2,W,,33,22,8,W 2,,38,6,1,1,0,,38,4,0,2,0,"18,581",2:35,
64,3/1/2018,7:30 PM,@,Florida Panthers,2,3,L,,33,23,8,L 1,,31,9,1,2,0,,29,9,0,2,0,"10,846",2:31,
65,3/2/2018,7:30 PM,@,Carolina Hurricanes,1,3,L,,33,24,8,L 2,,26,2,1,3,0,,30,6,0,1,0,"14,337",2:26,
66,3/4/2018,5:00 PM,,Vegas Golden Knights,2,3,L,,33,25,8,L 3,,35,2,1,3,0,,27,6,1,2,0,"16,514",2:31,
67,3/6/2018,7:00 PM,,Montreal Canadiens,6,4,W,,34,25,8,W 1,,33,6,3,5,0,,33,12,0,2,0,"14,586",2:36,
68,3/8/2018,7:00 PM,,Winnipeg Jets,2,3,L,,34,26,8,L 1,,43,2,0,4,0,,24,6,0,1,0,"14,023",2:33,
69,3/10/2018,8:00 PM,@,Nashville Predators,3,2,W,SO,35,26,8,W 1,,27,6,0,3,0,,36,4,0,3,0,"17,545",2:51,
70,3/14/2018,10:00 PM,@,Vegas Golden Knights,8,3,W,,36,26,8,W 2,,28,10,1,2,1,,42,4,2,5,0,"18,420",2:32,
71,3/17/2018,4:00 PM,@,Los Angeles Kings,3,0,W,,37,26,8,W 3,,28,12,0,4,1,,38,8,,6,,"18,230",2:33,
72,3/18/2018,9:00 PM,@,Anaheim Ducks,2,4,L,,37,27,8,L 1,,17,6,1,4,0,,36,8,1,2,0,"16,401",2:34,
73,3/20/2018,10:30 PM,@,San Jose Sharks,2,6,L,,37,28,8,L 2,,28,2,0,4,0,,25,8,2,2,0,"17,209",2:31,
74,3/23/2018,7:00 PM,@,Pittsburgh Penguins,,,,,,,,,,,,,,,,,,,,,,,
75,3/24/2018,7:00 PM,,Tampa Bay Lightning,,,,,,,,,,,,,,,,,,,,,,,
76,3/27/2018,7:00 PM,,Carolina Hurricanes,,,,,,,,,,,,,,,,,,,,,,,
77,3/29/2018,7:00 PM,,Pittsburgh Penguins,,,,,,,,,,,,,,,,,,,,,,,
78,3/31/2018,7:00 PM,,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,
79,4/1/2018,7:00 PM,@,Montreal Canadiens,,,,,,,,,,,,,,,,,,,,,,,
80,4/3/2018,7:00 PM,,New York Rangers,,,,,,,,,,,,,,,,,,,,,,,
81,4/5/2018,7:00 PM,,Toronto Maple Leafs,,,,,,,,,,,,,,,,,,,,,,,
82,4/7/2018,7:00 PM,@,Washington Capitals,,,,,,,,,,,,,,,,,,,,,,,
