,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,1/7/2018,5:00 PM,@,Columbus Blue Jackets,2,3,L,SO,17,18,6,L 3,,44,10,1,3,0,,48,8,2,4,0,"16,535",2:55,
42,1/9/2018,8:00 PM,@,St. Louis Blues,7,4,W,,18,18,6,W 1,,36,13,0,2,1,,30,13,0,2,0,"18,783",2:38,
43,1/12/2018,7:30 PM,,Calgary Flames,2,4,L,,18,19,6,L 1,,43,8,1,4,0,,29,10,1,3,0,"14,519",2:35,
44,1/19/2018,7:30 PM,,Vegas Golden Knights,4,3,W,OT,19,19,6,W 1,,26,4,0,1,1,,36,2,0,3,0,"17,468",2:31,
45,1/20/2018,8:00 PM,@,Nashville Predators,3,4,L,,19,20,6,L 1,,40,12,1,1,0,,29,12,0,1,0,"17,441",2:33,
46,1/23/2018,8:30 PM,@,Dallas Stars,1,6,L,,19,21,6,L 2,,34,84,1,6,0,,39,54,2,6,0,"17,987",2:39,
47,1/25/2018,7:30 PM,,Washington Capitals,2,4,L,,19,22,6,L 3,,34,19,0,4,0,,46,15,2,6,0,"14,033",2:32,
48,1/30/2018,7:00 PM,@,New York Islanders,4,1,W,,20,22,6,W 1,,40,2,0,0,0,,33,0,0,1,0,"10,423",2:19,
49,2/1/2018,7:00 PM,@,Buffalo Sabres,4,2,W,,21,22,6,W 2,,32,35,2,7,0,,32,45,1,3,1,"16,707",2:44,
50,2/3/2018,7:00 PM,,Detroit Red Wings,3,2,W,,22,22,6,W 3,,33,13,0,3,0,,28,13,0,2,0,"17,987",3:04,
51,2/6/2018,7:30 PM,,Vancouver Canucks,3,1,W,,23,22,6,W 4,,40,2,1,4,0,,27,8,0,1,1,"10,758",2:26,
52,2/9/2018,7:30 PM,,Los Angeles Kings,1,3,L,,23,23,6,L 1,,36,12,1,2,0,,26,14,0,1,0,"14,099",2:39,
53,2/12/2018,9:00 PM,@,Edmonton Oilers,7,5,W,,24,23,6,W 1,,40,0,3,4,0,,32,6,0,0,1,"18,347",2:39,
54,2/14/2018,10:00 PM,@,Vancouver Canucks,4,3,W,,25,23,6,W 2,,34,12,1,4,0,,37,8,1,6,0,"17,412",2:31,
55,2/17/2018,10:00 PM,@,Calgary Flames,6,3,W,,26,23,6,W 3,,30,29,2,4,0,,33,23,2,7,0,"19,289",2:42,
56,2/18/2018,8:00 PM,@,Winnipeg Jets,2,7,L,,26,24,6,L 1,,27,4,2,4,0,,34,8,1,2,0,"15,321",2:40,
57,2/20/2018,7:00 PM,@,Toronto Maple Leafs,0,1,L,,26,25,6,L 2,,40,4,0,2,0,,31,2,0,2,0,"18,961",2:32,
58,2/22/2018,7:30 PM,,Washington Capitals,3,2,W,,27,25,6,W 1,,33,11,1,4,0,,35,33,1,3,0,"15,312",2:32,
59,2/24/2018,7:00 PM,,Pittsburgh Penguins,6,5,W,,28,25,6,W 2,,30,7,0,3,0,,37,19,1,1,0,"17,581",2:34,
60,2/27/2018,7:30 PM,,Toronto Maple Leafs,3,2,W,OT,29,25,6,W 3,,31,4,1,4,0,,39,8,0,2,0,"14,265",2:37,
61,3/1/2018,7:30 PM,,New Jersey Devils,3,2,W,,30,25,6,W 4,,29,9,0,2,0,,31,9,1,2,0,"10,846",2:31,
62,3/2/2018,7:30 PM,,Buffalo Sabres,4,1,W,,31,25,6,W 5,,30,40,0,3,0,,25,30,0,3,0,"12,759",2:31,
63,3/4/2018,3:00 PM,,Philadelphia Flyers,4,1,W,,32,25,6,W 6,,26,11,1,5,0,,40,17,0,2,0,"14,428",2:27,
64,3/6/2018,7:30 PM,@,Tampa Bay Lightning,4,5,L,OT,32,25,7,L 1,,49,5,1,2,0,,33,9,0,0,0,"19,092",2:39,
65,3/8/2018,7:30 PM,,Montreal Canadiens,5,0,W,,33,25,7,W 1,,32,8,1,2,1,,40,0,,4,,"14,901",2:43,
66,3/10/2018,7:00 PM,,New York Rangers,4,3,W,SO,34,25,7,W 2,,35,7,1,2,0,,37,9,0,1,0,"16,712",2:44,
67,3/12/2018,7:30 PM,,Ottawa Senators,3,5,L,,34,26,7,L 1,,38,6,0,1,0,,25,4,0,2,0,"11,585",2:42,
68,3/15/2018,7:30 PM,,Boston Bruins,3,0,W,,35,26,7,W 1,,28,25,1,2,0,,46,17,,4,,"16,067",2:35,
